10
6 8
66 22 127246086
27 23 628985030
4 65 174947888
58 86 460518575
81 37 229597070
51 16 338654042
88 74 600579426
69 54 896719211
99 75 25804584
73 94 324393489
10 73 819703498
36 15 492862447
38 97 435591435
25 11 25807532
73 7 461456888
42 71 557549161
74 68 260037442
95 49 55751570
8 24 279447233
78 8 305050464
65 17 832785411
28 56 930858214
59 89 914205959
4 10
200 360
191 134 937910798
133 148 262551082
69 168 604021874
165 119 338535113
193 147 602836060
173 136 841571247
127 150 68676556
190 149 839284317
5 83 30910700
26 110 848919648
112 131 206716465
74 97 560620561
167 3 181878479
57 89 346427898
177 168 442531493
35 191 824908244
174 50 849915476
90 127 585389450
177 54 850354547
105 195 59999228
144 68 251676556
22 90 311112908
152 187 570641366
114 181 495732548
50 15 42261676
13 138 774740318
176 14 233055801
98 160 372721513
66 141 433669585
114 151 474655118
34 134 851940487
81 199 856577843
107 39 403061246
148 61 390074669
141 71 104071249
112 181 397962648
110 82 930517527
87 149 260773912
33 66 157586780
176 156 766908197
157 195 573263750
54 20 490436967
17 27 123123111
97 17 892946647
134 39 260525650
143 8 995911123
133 61 954220679
179 84 157556302
124 130 337590134
100 6 88820552
111 82 521277199
129 68 678831085
37 67 854292894
113 25 170986437
118 200 869490712
109 103 789466731
15 28 765373914
64 49 458371491
179 198 451571204
82 102 280530951
151 111 891849417
172 53 633152796
198 169 626423866
165 144 971194102
145 164 45967896
27 74 451298861
194 106 74814059
131 151 474631605
161 103 716444960
199 173 873623854
95 166 939075293
9 179 692459683
175 106 260073870
31 20 298072831
44 179 355760300
175 139 75717226
35 39 770253892
48 91 412594431
169 103 264790049
18 56 73366368
120 107 294661063
188 94 346074021
80 17 39464323
164 72 953450198
111 137 111891908
84 44 129805335
175 194 301794604
93 63 23443941
162 63 485401830
57 117 570436310
78 10 647143182
103 25 945517121
190 87 634997853
178 159 65852526
156 14 949499899
115 183 84896991
1 46 598636729
95 62 795573736
47 78 715143499
44 5 594633855
102 26 310928995
77 135 804148164
83 150 199626150
194 22 839550719
162 32 657434985
191 39 202641618
67 117 486741885
192 40 111181463
85 155 945697484
197 32 77802668
83 44 339978141
130 197 16227476
129 70 5322494
122 2 943851382
88 23 678827860
171 170 22663695
135 16 469724036
58 5 49355297
28 36 2744512
154 199 353391641
12 33 259014978
196 132 362247042
32 130 830631538
149 132 541283816
188 116 256077267
6 21 204213541
53 173 334642830
89 153 386114050
29 140 135283276
11 144 475533577
180 95 355761422
93 60 777722909
61 152 627213755
170 23 463098198
77 157 111619296
183 96 386642020
7 70 144547924
27 80 971379782
118 20 374365962
4 13 208425866
96 115 95306313
96 161 272779497
119 91 642788147
154 81 23755423
101 73 788294029
128 1 838105687
196 119 131228505
123 163 479562438
186 145 462834218
1 69 347377225
146 88 601518045
75 106 547767235
186 72 63079741
85 80 492963104
43 129 658976693
193 75 39678860
130 159 875526908
108 49 112830859
22 99 230508950
65 93 921846293
124 60 927042054
154 6 416431301
126 72 60196020
150 5 110401404
20 177 688087796
76 45 202529217
47 4 816754420
81 21 947801021
192 36 260264355
142 100 77222542
38 144 102663998
197 178 959468263
75 139 251545188
126 187 465670915
134 107 82808643
73 26 747397431
128 46 637823637
172 199 677078611
1 168 167535163
184 30 427773851
157 16 258021946
36 59 492666732
72 187 824797227
55 22 357988057
120 34 911566626
92 58 706317695
63 60 793209609
46 180 278763254
59 51 30020065
200 24 412161030
35 116 340924861
136 140 479938334
183 135 998284584
197 159 30875876
151 137 639519246
96 113 635728234
196 48 812014555
42 86 762273416
107 34 244126581
14 24 718832461
156 7 867795323
41 142 5530232
126 152 503138867
70 43 142347175
198 9 629680554
26 101 33641054
124 162 349085102
180 128 921075607
189 76 314345058
109 9 404321661
183 113 465859354
3 51 958221766
91 196 289499369
145 171 39350025
29 136 812553336
159 79 840399542
2 155 907177459
133 122 787438275
36 3 896430728
34 190 242977155
110 73 647129077
148 187 19416998
51 147 190152673
193 158 433683704
18 125 673541282
163 98 35019886
156 104 681998437
145 52 518673792
147 167 49895762
188 30 786464621
171 52 397622969
152 148 855273051
25 161 728713006
182 125 202860070
32 124 657340655
154 21 572892434
166 62 49125936
38 91 27962785
110 102 490238316
172 173 428504129
2 80 570058555
170 88 363561192
112 114 720073280
15 40 504984300
178 79 98906404
108 12 534656682
122 155 712409088
28 192 881020625
38 119 112136575
128 69 190231596
131 114 687164129
40 174 624326676
112 79 766751266
140 65 24314275
54 168 71739020
166 146 433683748
15 174 139613731
54 69 320124092
61 122 800742377
31 118 833424762
65 29 231171563
153 56 45568157
142 74 894472227
60 162 277320035
63 65 71142052
92 90 766277464
42 143 135774567
83 84 784610207
75 158 782677498
200 14 893787908
171 186 515115754
192 59 442712584
138 182 883656226
113 161 110515079
115 135 41068879
200 31 290893527
118 24 597508623
146 95 955728522
62 46 928922399
176 7 477325852
133 155 741088939
106 139 110724107
48 132 526212953
160 185 758608560
7 104 927174860
11 165 5000304
121 146 827874092
93 140 487599393
104 70 652030791
86 37 118907797
84 9 65433561
50 185 723758557
121 23 777932390
189 71 360157886
2 85 190730530
137 82 658386813
149 120 217935866
167 51 413873438
53 29 437619734
184 191 884879407
17 85 343946577
97 27 299261314
101 195 374837797
90 99 723615999
87 132 773134698
68 11 501289031
150 58 362708554
45 8 528127001
109 169 558723911
16 115 649610150
87 48 225869044
158 147 487358239
31 177 384777642
55 99 654704915
157 105 157955383
77 16 77039861
79 181 231684543
184 35 918631959
175 55 539699626
105 101 473454655
11 43 107857637
131 137 110515101
59 3 727100581
165 38 177444856
126 164 447304931
28 40 990476593
23 52 596593435
68 43 557342002
180 62 674052333
92 99 488289030
55 194 151212684
184 116 349847161
121 88 662444495
41 100 100113690
121 166 187786181
123 19 517935800
185 174 637367616
41 21 257449165
195 77 292368036
19 64 269564034
169 25 697971876
158 167 173234777
190 120 38228964
81 172 412834401
127 92 890119292
139 193 412572352
52 170 135399732
129 104 243680252
109 198 90017970
178 181 810516546
73 105 658875707
24 176 96097140
164 186 345149339
111 102 716529117
53 136 370633759
41 6 731165087
30 116 848184183
97 142 184306882
100 74 854344610
58 127 118592382
94 10
400 720
89 389 671599447
40 267 280747757
236 218 347899545
263 191 234918840
64 250 722789784
68 286 100612395
212 384 280752440
53 9 700368799
128 246 855145564
2 71 280741777
391 63 465429053
272 355 389011130
236 45 280752570
217 398 280741273
181 303 946750482
383 288 206823522
369 284 565640844
191 359 10728460
86 150 705857040
363 176 708867456
56 335 921150084
195 390 126352133
286 247 799351693
120 305 948280577
105 89 280735575
10 369 458980106
234 246 206088835
87 96 657900613
152 142 280740102
4 312 280748088
244 30 843467041
225 114 507827543
47 176 892618177
223 397 277433910
93 388 229497937
224 256 91823915
68 296 280747469
358 145 748790598
147 288 575565935
144 317 144143927
305 349 458460396
236 183 988641222
80 64 102091918
5 347 280744048
89 342 579037099
240 229 710129502
361 44 185963446
322 271 760793490
396 38 280742184
361 135 313735380
301 373 45224954
249 374 893962837
307 243 409061134
309 351 94831297
41 21 25642442
80 138 121858292
125 397 280753069
2 146 889179913
295 270 340279466
168 161 389076897
153 106 280740017
347 269 508590887
111 364 277927992
6 129 280753001
25 110 563232518
4 140 280735821
155 161 647559238
112 180 298540040
397 275 883756365
163 113 280742882
340 222 767570622
296 121 958835837
400 186 422093919
92 27 280736478
160 103 512677997
306 383 141801373
205 73 656793004
373 108 838418417
245 21 286111447
280 197 698247684
278 310 614204001
198 110 280749430
233 339 618924304
161 336 280738280
83 30 732293456
119 164 884683038
236 353 144615279
293 185 118195051
292 149 280739429
344 216 946939608
351 116 677922774
121 177 922141262
116 327 565114125
316 257 237781597
340 88 709267000
323 151 378087006
184 102 863998330
162 271 280746463
29 247 280748571
207 372 652029917
75 250 143554884
312 233 660519970
117 287 925356742
143 115 618423859
341 12 332001675
216 224 39167439
11 124 280750651
191 355 812321925
310 214 111656693
400 59 323618681
60 140 280743567
61 255 280753665
257 272 938917638
251 393 211359105
341 219 72080868
215 14 142749163
331 357 11385866
118 7 673454405
268 173 826309241
242 31 280743497
33 161 280734668
283 358 801966693
47 142 260336862
350 253 280751310
242 263 14504626
188 168 515810082
188 179 413433507
349 94 631161144
199 374 524674224
16 228 280738348
323 186 883619719
154 210 865263823
57 241 280737250
365 128 892058967
294 93 334862546
148 111 69780762
264 167 661190328
71 259 997650186
362 182 280742412
347 123 265100746
357 183 259405784
29 208 455663884
396 116 280745763
262 360 669711345
259 18 280742495
277 219 199374336
79 287 280748766
372 188 408787478
202 295 280734970
296 384 426114243
44 388 542933468
203 221 707979591
181 41 280734933
398 81 280737158
373 54 67297464
290 256 577376186
376 49 280746217
312 371 280737297
120 192 845294594
111 326 659214524
116 93 894309957
379 377 352895139
65 217 809129567
282 46 280751673
305 200 871640621
191 78 896745836
388 85 118797323
368 197 280742958
66 107 293689884
82 341 288916284
215 237 267046266
360 127 280744879
316 43 971439162
195 141 350486025
142 23 280749829
11 380 218799359
277 321 23297688
15 378 956318509
205 363 563650159
197 316 422699381
130 164 86041509
395 187 596047851
232 184 280737088
115 239 280737475
242 143 811584458
73 280 280739020
272 186 94831297
5 375 378087006
249 72 912721198
367 3 183778738
281 119 336445954
204 271 149474468
363 293 590035712
204 359 280746156
268 212 280744154
325 203 73469279
343 152 356101737
335 81 117447586
51 314 611024764
320 350 747865680
25 26 217705055
360 317 938645304
330 141 280741466
134 139 789563023
173 115 280742936
334 248 954626737
56 385 340189260
383 256 492214716
6 299 119134390
261 280 828362454
368 308 280738728
305 231 710507721
232 222 822176407
211 20 91311123
164 316 273529626
236 254 280736633
102 191 280753375
304 233 896311586
223 157 570934605
14 157 994187519
217 240 84181890
371 216 280746595
302 386 628848366
118 152 280745544
163 15 280752736
22 343 413472245
390 276 280738913
64 322 593459817
175 258 552992555
174 188 556467572
335 58 452464310
76 375 280752538
262 180 280747492
203 352 374163015
58 223 785512998
312 278 165459540
363 123 280753640
57 156 633683480
199 311 118858742
92 388 571135683
254 133 404403961
113 281 626590478
394 243 384637847
105 329 280745450
380 209 715716026
72 263 280736641
107 120 658801413
388 84 321236421
354 215 5852822
19 149 280747175
334 211 723860907
284 17 272221600
309 206 584349982
200 91 967393844
275 51 801021710
200 88 220767468
133 373 609553612
76 200 90012276
38 128 506311889
82 198 280745460
121 106 200632270
8 164 165147134
271 28 280743556
228 234 280734650
296 31 280752566
94 151 119873574
218 329 531786302
45 232 530558439
311 87 208029218
299 301 421846636
285 175 509142707
324 240 280738750
67 95 590483645
15 17 280735383
386 206 573796450
257 87 362484898
385 260 280735737
345 91 280750730
121 329 280749028
237 334 670530105
277 20 971805205
145 346 461735554
14 213 154919424
257 300 76170244
243 185 280742118
87 200 373438762
41 124 280738604
120 356 272344935
257 179 677535801
356 373 725916757
159 204 280752847
109 298 12486186
330 82 280735012
7 349 933856446
338 156 209430205
393 154 915099269
159 166 280744451
258 239 280738557
249 375 280749756
59 119 681384462
360 399 280745254
237 53 975433426
110 38 280753950
20 42 506980457
96 300 66167507
96 166 863594755
32 178 280736227
366 351 90623322
37 197 619147409
86 188 280737668
289 140 197416472
220 292 280751997
360 15 354715492
1 295 754222036
213 22 241661955
223 27 969242979
256 298 341744275
378 214 94117459
138 226 689973458
33 331 280746978
150 376 490371773
341 240 559994640
63 307 662898340
16 308 717418809
58 282 386473887
370 311 380494471
298 181 280737707
389 50 491986902
114 97 280744988
117 277 280745766
180 195 66693348
307 286 871940337
228 300 565574810
318 337 32196162
108 205 350608792
377 320 525148634
5 361 308105369
45 292 827994511
52 227 893316830
283 102 976004063
130 349 145594556
253 376 516923060
158 169 280745065
253 234 280745384
10 373 637950749
296 39 802466738
286 358 2254444
178 335 356792608
59 17 145750583
191 213 605258658
369 25 866618594
203 214 975263182
147 78 817430643
395 210 841850783
8 209 681802923
319 107 725036009
287 242 280752539
70 33 95456983
233 68 764864036
116 11 280752641
353 84 694543618
44 332 280754253
315 175 280735682
344 35 366282108
362 276 280753347
340 326 464482404
338 53 435271101
323 308 168718603
398 177 186795623
311 325 177168434
184 16 280746231
121 90 280750955
24 103 210673003
93 207 154505770
251 312 110597813
346 1 280750732
116 73 915785907
197 74 280753779
288 14 544009694
46 293 491178250
349 394 522749269
331 396 558051820
253 78 358185133
322 20 282335096
121 96 188104757
395 393 779132512
283 249 658147210
40 116 387112365
153 69 280746078
211 328 603139433
131 356 675640028
72 170 109126570
193 165 98590293
86 222 280753582
133 271 990790133
248 235 342072518
32 259 280736682
19 254 280754001
248 362 248610986
213 218 941434818
130 133 178360013
230 385 280753342
52 344 135051393
88 212 354693634
72 214 280744892
80 283 800327209
14 342 981392529
97 185 280739191
305 85 254990704
396 124 877574258
94 98 343406118
75 189 280742264
50 274 210119927
290 183 399887981
253 383 677041791
61 178 280745294
387 253 800279139
49 134 69900502
57 390 986605212
58 377 622908861
40 290 280745568
242 262 451319386
102 60 280745288
267 324 280748194
291 393 474445934
291 16 733539930
62 212 257122247
349 237 751639389
363 222 280745605
168 149 474300202
111 164 258256435
259 391 401811513
170 126 894015472
376 359 280747822
262 141 991404068
216 353 115636486
318 195 506776705
243 75 280748087
137 158 117550790
51 91 438607621
46 36 900554298
224 177 280735608
308 1 280747975
84 150 920594546
229 146 949448657
90 55 291974808
86 200 129031760
263 81 280753833
346 308 268238377
119 102 979613375
344 136 108105034
353 286 419846887
85 80 412207364
55 59 915477442
64 48 822043835
258 290 280751238
32 366 192999410
219 363 608677859
45 280 331514793
5 322 260453546
97 328 241494232
260 311 280747969
80 160 925981096
213 82 807676205
243 275 396676471
313 16 180077932
23 339 676267280
317 119 969686430
177 394 840483117
384 162 280747644
341 101 89291107
377 144 900421860
122 360 968238984
182 5 862861547
372 367 280745298
232 106 280748669
119 103 303692374
180 282 280753774
286 86 245018517
64 208 595711205
203 157 462390100
196 19 660418442
116 244 522628718
104 246 661541065
373 381 657798149
235 217 117293439
246 353 351220208
154 196 908509915
12 47 931409775
220 25 280738853
175 35 25642442
177 25 280737352
359 145 320289063
210 129 738732839
303 14 671100795
76 13 536427993
249 298 280741417
40 110 304501301
274 106 703634152
52 159 472892068
221 120 715093852
367 46 280738152
158 130 129183498
92 95 280736909
318 322 423430250
126 349 170312966
302 9 691991838
244 182 280745089
295 173 280738947
77 164 63624714
375 181 54403427
227 172 185392240
229 139 15543105
118 70 461143178
282 104 560178540
224 100 280753799
296 254 819203873
118 214 280751233
386 129 355869019
227 128 254349391
85 122 466462777
219 195 119104272
168 147 21172371
2 160 280750875
284 10 470740335
382 224 858747455
23 148 34373538
88 114 794338147
315 328 280748012
22 95 599906164
322 103 280746698
202 241 280747628
245 399 313147731
112 256 129622756
117 63 280743197
247 390 280736529
53 304 335394569
149 296 717418809
20 140 943575099
6 350 280749715
328 5 160468457
23 69 280747767
316 56 55202684
214 207 696873182
313 83 605408485
161 43 478793282
389 23 844135317
267 253 451138867
385 47 897473664
17 230 280751347
296 347 754569306
28 95 280737160
36 26 170771059
352 353 788085448
93 146 787975476
66 45 494082981
265 235 412916387
132 55 113225580
116 250 865625628
250 346 280753021
9 101 560314584
114 213 385500122
176 5 277321367
108 124 968238984
344 272 960701696
160 214 745328605
169 176 280748486
319 29 280754142
5 345 280734942
239 364 728571410
74 76 280753120
240 63 437703686
210 196 174952066
130 246 273756126
347 388 310461993
100 326 280735663
314 395 214733918
217 13 280735177
166 201 280739264
112 141 609831610
53 395 974069678
49 191 280750114
331 213 974098331
164 160 836270250
301 85 983023181
87 194 743990783
337 322 995080946
374 317 868543111
74 312 218828275
77 200 718010291
28 333 234731537
114 192 280753392
235 213 127730279
237 64 370568238
152 180 657422213
39 366 126896446
399 331 280745928
170 67 883832530
186 304 343930419
71 125 280743790
188 268 280737461
19 259 543956775
369 218 658586164
319 103 280735456
24 341 863898216
231 341 866929712
379 112 689907053
160 73 280751045
1 59 309465584
171 129 53198978
165 319 74991314
96 194 646924951
238 290 746730094
189 244 280740761
127 139 280746551
138 325 981696310
129 240 280739622
299 19 697896245
350 236 269863446
26 270 654614709
293 392 530736938
79 280 280748621
356 301 360604993
377 371 207181709
337 289 253435120
44 205 280750275
96 293 340321903
135 136 784311386
383 327 557752438
342 310 654435894
26 311 319783890
9 196 384771505
186 392 683124967
171 369 323423426
190 268 946967605
83 288 612610460
342 352 887186776
20 365 70942038
176 63 280743696
284 170 54403427
203 317 206270231
332 158 280747141
379 188 442416994
356 308 70170760
356 214 494234308
183 397 280745599
244 78 408244764
279 216 737120885
164 106 170163179
341 315 782851197
160 318 926105393
326 235 193302466
166 107 351220208
109 389 311913651
316 233 967005123
45 336 280750615
388 18 280752837
66 273 77923073
117 175 850737174
55 217 338910842
14 183 280744038
217 218 877574258
90 123 280741467
122 226 901320650
356 45 904534744
348 163 153791496
205 141 280738494
102 329 997552300
385 378 782667289
50 355 100232916
123 34 252919373
15 73 488969146
325 66 743819424
283 287 6850158
89 255 280740849
236 225 981108776
68 139 280745606
33 290 803891126
99 325 64277574
273 165 920559960
327 174 110970329
130 257 508049506
266 130 476435886
367 362 684406576
389 24 401505389
21 365 663181225
186 188 855621571
360 285 169446648
113 201 280741762
249 155 514277097
160 252 159478897
262 175 280735063
91 357 666280708
55 353 90102361
14 27 280752234
325 172 400612323
365 92 422940108
350 52 438740677
57 192 280748380
134 366 658303794
267 387 456408514
94 171 725666631
216 91 280741276
14 297 231754384
174 356 297860451
198 229 369882896
351 42 805864145
347 328 280744634
336 264 632580752
381 323 830734961
257 322 256255899
41 329 929294280
13 372 280746126
146 344 423677186
131 360 945938420
283 116 946216714
388 322 280744901
267 325 315075968
294 332 692766893
277 326 280737798
311 250
500 4000
143 166 692288332
118 211 77128717
223 327 125794880
252 474 297089010
38 369 852259665
189 106 567748485
23 273 612405
180 82 757236525
96 486 568403764
36 132 413027265
467 306 927965759
464 13 979694747
421 158 419883945
253 57 854566802
349 229 601627771
71 376 289463066
103 492 211179969
311 284 69084661
119 57 792976221
126 344 990173084
452 389 262597377
231 298 542339913
36 225 546504944
396 235 558986058
245 196 535962793
325 267 984934843
426 197 342981124
121 34 887936450
157 135 788939577
216 364 582369756
343 374 182854034
253 14 234413146
2 242 859973739
340 151 620052135
41 287 231800600
79 435 404611373
122 492 32618432
417 492 883058958
287 336 281839849
293 146 3811729
102 266 796626908
325 328 910247287
170 254 156430050
243 164 490686163
359 448 16012950
138 396 345952838
162 419 454446416
135 57 395170703
314 28 99686252
174 173 177581152
431 230 342196698
99 120 305328892
16 419 772651222
67 301 2135478
44 262 542892928
36 61 534997723
216 419 477352896
354 128 733448832
311 185 432798415
456 199 395455577
55 362 520682664
356 193 444607951
371 432 79870877
194 375 79870877
179 51 257894265
94 336 21327303
253 250 656949306
187 281 11283133
343 470 294153934
77 273 96261871
156 52 611741073
121 460 91355918
281 450 599633432
164 404 285236379
295 476 203687790
221 296 80242213
296 336 966618485
85 46 822581594
248 14 856205808
173 208 35852426
386 255 789476066
471 433 257329158
156 255 356342100
247 122 72555611
359 446 358225137
346 96 10336074
458 459 365882821
210 348 393184257
360 239 484829661
377 425 161149232
471 302 662038385
96 50 573632082
398 268 665445574
58 426 812145160
190 351 998390808
445 16 279621532
483 6 173415087
468 130 849639450
461 378 285646347
310 375 236490593
239 458 207513037
443 291 603470759
342 391 307299115
419 459 716004635
152 284 117836652
309 275 443833602
27 43 487738471
406 80 710695537
121 193 194467875
189 417 682725801
6 313 724318007
56 403 418352909
59 172 664464520
361 179 456806675
149 15 534264085
109 76 456632805
159 161 669537997
128 124 340120754
286 333 134220461
43 364 652420538
310 141 348999979
463 301 229576474
221 354 193087237
178 483 187850014
2 337 588420387
469 452 810717600
272 104 961795067
89 415 894812913
309 78 52440414
311 339 723310281
29 96 510556859
381 67 598242048
212 47 141054989
322 482 637605261
398 389 215588558
289 39 25010000
231 441 64732534
262 466 449907680
120 25 977404988
349 164 420647366
59 419 213680479
281 365 150769568
286 270 255214455
218 40 795031520
235 49 394593019
266 389 872557037
438 479 999082246
366 172 609573580
298 331 464595036
48 58 653034075
204 209 605509796
91 46 33513097
375 1 158231378
43 150 329003440
214 4 281529966
476 253 62776414
132 457 94754192
439 109 181829470
411 6 614802653
85 464 724257418
12 392 161983588
167 455 773238213
244 499 60748747
218 304 777598466
110 341 927387035
448 39 150172132
110 399 85646098
274 200 25671990
318 108 955720823
253 20 731310249
224 376 691346224
411 194 73025252
67 47 920034854
436 62 728035597
294 246 660236750
347 453 913197972
174 191 694453350
498 188 646836840
288 228 411231129
256 113 473313291
12 299 556931053
355 367 680915780
148 288 802380323
460 466 102891482
220 419 518651381
257 77 945901859
263 394 365621781
495 185 724971577
490 20 155942970
200 181 359781821
90 41 419591940
145 190 271988571
472 400 921103643
310 161 649064304
25 494 456359155
382 133 696891526
197 478 231366597
181 352 38526429
240 39 387530371
37 59 425058287
208 472 922108433
20 389 203745658
451 173 277676618
464 284 915758630
35 217 807093768
65 331 899360696
451 358 142739526
88 166 380591903
191 8 711011733
211 440 498560585
15 121 422875196
433 412 468518338
107 121 633952330
274 268 589915493
210 12 367039230
284 455 20693110
432 120 421792347
220 463 480573004
476 185 552405275
18 403 41908669
491 278 245908591
446 388 136566145
165 363 73174413
288 448 13563311
377 109 714344353
498 196 660221088
291 496 660231892
108 313 970314875
150 194 494530342
299 274 217709412
287 313 282766756
62 81 319073732
56 476 923836163
328 224 333823526
199 343 490811907
250 64 973677536
441 274 560276536
72 289 881989392
408 148 329532420
435 430 672570376
394 302 633867530
201 166 443171783
403 51 44237429
220 42 560196825
164 17 729051473
484 107 878897043
335 421 375062676
116 248 660230413
359 119 537867961
308 61 643137742
311 114 55857956
267 425 475494357
86 49 660235647
246 372 729742247
83 455 770485357
252 319 497070681
483 254 223601123
349 478 623099900
98 290 307327198
332 194 373355594
225 142 884748248
145 24 770231954
74 408 598363998
143 486 605291828
270 467 989335854
70 87 766992751
360 191 333208478
122 194 820724491
98 281 179019203
287 427 102098525
225 161 991674181
467 460 909403398
152 112 936803702
221 319 464983546
96 368 573667027
10 230 248409978
435 211 668447939
337 472 777486959
273 136 442603427
99 483 389885717
155 288 794572485
416 319 407667364
190 393 451817515
14 458 522182341
437 487 149019549
463 141 660231109
246 251 382136152
482 72 169036468
126 346 660227581
299 48 561318256
78 308 164393305
368 171 184032958
60 14 380155090
411 44 157238893
491 354 716452662
318 130 800311840
276 138 80689336
240 445 434977063
35 256 350178878
462 114 502048901
215 436 968291949
282 100 126388787
497 412 592912246
4 193 53144337
37 313 620161819
333 186 991887388
378 43 519344939
233 484 45296424
449 442 763858376
70 8 10632814
41 224 45668477
250 315 491047076
210 108 561249639
297 393 630402496
91 219 374705272
50 13 772782153
412 348 49405096
90 35 901241644
386 208 91432776
61 463 660219502
123 302 919487547
346 332 984419881
225 491 500157727
122 222 569013403
240 500 754256342
19 259 617545512
24 270 413265246
249 29 654705762
233 134 58723655
265 243 277534201
34 33 291381763
282 261 459332075
457 270 246939580
57 238 555221499
436 380 502048901
27 66 619452535
75 343 191131080
247 348 585157185
400 74 720500105
63 142 835739552
134 423 18498524
172 89 38284822
358 336 528849048
359 275 992013066
92 195 41007328
280 467 588446013
418 13 419213484
402 491 260235414
22 238 909068449
442 370 308796407
369 179 389417730
244 70 877880006
447 122 848901195
367 23 814781854
453 415 753135706
409 276 327146575
470 31 237564680
233 301 297947495
31 41 717725051
455 325 258391436
364 167 198630885
72 268 503064975
238 40 625399424
391 319 619038947
25 416 678806376
328 399 48704324
426 110 505849447
82 419 447461252
180 498 772782153
31 240 177654922
478 77 669256117
293 116 208743993
246 395 208441441
64 178 850382612
217 387 918958963
137 301 385468380
187 52 430804836
152 62 329906097
381 363 723411011
457 137 563860976
204 144 893568408
189 212 898936206
453 140 502759441
217 351 796690646
55 145 391413761
378 426 916798794
97 352 642550056
383 335 534956652
150 153 367227424
289 360 928458815
288 403 595998972
200 411 659438977
21 447 444083693
308 319 862550532
189 447 913356302
288 351 836505024
381 1 493876255
264 140 199976032
184 251 906558971
343 228 370868796
40 6 449119055
492 221 515139733
486 394 638750852
346 496 31300991
496 142 264052236
236 457 392443064
14 98 249149430
166 461 588054650
66 116 229769784
189 323 732539073
251 257 975643117
472 436 107420775
260 463 955469584
391 199 522741053
282 164 460997424
18 214 808193189
160 431 660217907
296 91 579045068
227 139 247519086
404 133 660221500
98 43 160163200
